HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N3.HOG0000370	OG0000277	n0		WP_152063604.1	WP_102337933.1, WP_102338321.1, WP_102338025.1		
N3.HOG0000371	OG0000278	n0		WP_006722436.1	WP_102337584.1		
N3.HOG0000372	OG0000279	n0		WP_006722287.1	WP_102337308.1		
N3.HOG0000373	OG0000280	n0		WP_193221129.1	WP_199824844.1		
N3.HOG0000374	OG0000281	n0		WP_152063505.1	WP_102338158.1		
N3.HOG0000375	OG0000282	n0		WP_152063622.1	WP_199824835.1		
N3.HOG0000376	OG0000283	n0		WP_118103763.1	WP_102337270.1		
N3.HOG0000377	OG0000284	n0		WP_006723016.1	WP_199824829.1		
N3.HOG0000378	OG0000285	n0		WP_039910571.1	WP_009141477.1		
N3.HOG0000379	OG0000286	n0		WP_006723981.1	WP_102337953.1		
N3.HOG0000380	OG0000287	n0		WP_152063068.1	WP_102337413.1		
N3.HOG0000381	OG0000288	n0		WP_006722499.1	WP_102337531.1		
N3.HOG0000382	OG0000289	n0		WP_152063242.1	WP_102337518.1		
N3.HOG0000383	OG0000290	n0		WP_006721138.1	WP_102337506.1		
N3.HOG0000384	OG0000291	n0		WP_039910223.1	WP_102337553.1		
N3.HOG0000385	OG0000292	n0		WP_118271280.1	WP_102337558.1		
N3.HOG0000386	OG0000293	n0		WP_039910251.1	WP_102338515.1		
N3.HOG0000387	OG0000294	n0		WP_006723843.1	WP_102338210.1		
N3.HOG0000388	OG0000295	n0		WP_152062806.1	WP_234346360.1		
N3.HOG0000389	OG0000296	n0		WP_006722724.1	WP_102337406.1		
N3.HOG0000390	OG0000297	n0		WP_118104086.1	WP_102338204.1		
N3.HOG0000391	OG0000298	n0		WP_039910258.1	WP_102337459.1		
N3.HOG0000392	OG0000299	n0		WP_006722701.1	WP_102337428.1		
N3.HOG0000393	OG0000300	n0		WP_152063185.1	WP_102337491.1		
N3.HOG0000394	OG0000301	n0		WP_152063173.1	WP_102337479.1		
N3.HOG0000395	OG0000302	n0		WP_152063154.1	WP_102337447.1		
N3.HOG0000396	OG0000303	n0		WP_152063153.1	WP_102337446.1		
N3.HOG0000397	OG0000304	n0		WP_152063151.1	WP_102337444.1		
N3.HOG0000398	OG0000305	n0		WP_039910262.1	WP_102337443.1		
N3.HOG0000399	OG0000306	n0		WP_193221163.1	WP_102337442.1		
N3.HOG0000400	OG0000307	n0		WP_118102682.1	WP_102338436.1		
N3.HOG0000401	OG0000308	n2		WP_152063039.1	WP_102337381.1		
N3.HOG0000402	OG0000308	n3		WP_152063036.1	WP_102338497.1		
N3.HOG0000403	OG0000309	n0		WP_226803360.1	WP_234346237.1		
N3.HOG0000404	OG0000310	n0		WP_118271400.1	WP_102337284.1		
N3.HOG0000405	OG0000311	n0		WP_152063381.1	WP_102337271.1		
N3.HOG0000406	OG0000312	n0		WP_006722211.1	WP_102337264.1		
N3.HOG0000407	OG0000313	n0		WP_118271744.1	WP_102337883.1		
N3.HOG0000408	OG0000314	n0		WP_006723144.1	WP_102338366.1		
N3.HOG0000409	OG0000315	n0		WP_152063563.1	WP_102337974.1		
N3.HOG0000410	OG0000316	n0		WP_152063299.1	WP_102337622.1		
N3.HOG0000411	OG0000317	n0		WP_006722409.1	WP_102337611.1		
N3.HOG0000412	OG0000318	n0		WP_211203994.1	WP_102337305.1		
N3.HOG0000413	OG0000319	n0		WP_039910419.1	WP_102337737.1		
N3.HOG0000414	OG0000320	n0		WP_152063400.1	WP_102337238.1		
N3.HOG0000415	OG0000321	n0		WP_039910316.1	WP_102337237.1		
N3.HOG0000416	OG0000322	n0		WP_152062890.1	WP_102337236.1		
N3.HOG0000417	OG0000323	n0		WP_152062707.1	WP_102338042.1		
N3.HOG0000418	OG0000324	n0		WP_006723764.1	WP_102338283.1		
N3.HOG0000419	OG0000325	n0		WP_006723035.1	WP_102337783.1		
N3.HOG0000420	OG0000326	n0		WP_152063761.1	WP_102337888.1		
N3.HOG0000421	OG0000327	n0		WP_152062776.1	WP_102338244.1		
N3.HOG0000422	OG0000328	n0		WP_152063342.1	WP_102337636.1		
N3.HOG0000423	OG0000329	n0		WP_226803157.1	WP_102338234.1		
N3.HOG0000424	OG0000331	n0		WP_152063518.1	WP_102338231.1		
N3.HOG0000425	OG0000332	n0		WP_193221226.1	WP_199824838.1		
N3.HOG0000426	OG0000333	n0		WP_006722465.1	WP_102337560.1		
N3.HOG0000427	OG0000334	n0		WP_006723110.1	WP_102338415.1		
N3.HOG0000428	OG0000335	n0		WP_006723811.1	WP_199824881.1		
N3.HOG0000429	OG0000336	n0		WP_118272202.1	WP_102338137.1		
N3.HOG0000430	OG0000337	n0		WP_152063745.1	WP_102338424.1		
N3.HOG0000431	OG0000338	n0		WP_152063305.1	WP_102337629.1		
N3.HOG0000432	OG0000339	n0		WP_152063298.1	WP_102337613.1		
N3.HOG0000433	OG0000340	n0		WP_152063145.1	WP_102337438.1		
N3.HOG0000434	OG0000341	n0		WP_006722223.1	WP_102337268.1		
N3.HOG0000435	OG0000342	n0		WP_152063388.1	WP_102337263.1		
N3.HOG0000436	OG0000343	n0		WP_118272399.1			
N3.HOG0000437	OG0000344	n0		WP_006723052.1	WP_102338398.1		
N3.HOG0000438	OG0000345	n0		WP_006723109.1	WP_102338416.1		
N3.HOG0000439	OG0000346	n0		WP_006723124.1	WP_102337797.1		
N3.HOG0000440	OG0000347	n0		WP_006723463.1	WP_102338109.1		
N3.HOG0000441	OG0000348	n0		WP_152063857.1	WP_102338569.1		
N3.HOG0000442	OG0000349	n0		WP_152063508.1	WP_102338169.1		
N3.HOG0000443	OG0000350	n0		WP_006723876.1	WP_102338648.1		
N3.HOG0000444	OG0000351	n0		WP_006722668.1	WP_234346159.1		
N3.HOG0000445	OG0000352	n0		WP_006723032.1	WP_102337780.1		
N3.HOG0000446	OG0000353	n0		WP_006723619.1	WP_102337745.1		
N3.HOG0000447	OG0000354	n0		WP_226803172.1	WP_102337738.1		
N3.HOG0000448	OG0000355	n0		WP_006723630.1	WP_102337732.1		
N3.HOG0000449	OG0000356	n0		WP_152062734.1	WP_102338265.1		
N3.HOG0000450	OG0000357	n0		WP_152062735.1	WP_234346308.1		
N3.HOG0000451	OG0000358	n0		WP_152062736.1	WP_102338264.1		
N3.HOG0000452	OG0000359	n0		WP_006723561.1	WP_102338049.1		
N3.HOG0000453	OG0000360	n0		WP_152062811.1	WP_102337718.1		
N3.HOG0000454	OG0000361	n0		WP_006723640.1	WP_102337717.1		
N3.HOG0000455	OG0000362	n0		WP_226803238.1	WP_234346175.1		
N3.HOG0000456	OG0000363	n0		WP_152063246.1	WP_102337529.1		
N3.HOG0000457	OG0000364	n0		WP_006722476.1	WP_102337554.1		
N3.HOG0000458	OG0000365	n0		WP_152062881.1	WP_102337758.1		
N3.HOG0000459	OG0000366	n0		WP_006723743.1	WP_102338332.1		
N3.HOG0000460	OG0000367	n0		WP_152062708.1	WP_102338236.1		
N3.HOG0000461	OG0000368	n0		WP_152063734.1	WP_102338448.1		
N3.HOG0000462	OG0000369	n0		WP_118102479.1	WP_102337902.1		
N3.HOG0000463	OG0000370	n0		WP_152063527.1	WP_102338288.1		
N3.HOG0000464	OG0000371	n0		WP_006723739.1	WP_102338338.1		
N3.HOG0000465	OG0000372	n0		WP_226803201.1	WP_102338493.1		
N3.HOG0000466	OG0000373	n0		WP_152063477.1	WP_102338099.1		
N3.HOG0000467	OG0000374	n0		WP_152063478.1	WP_102338095.1		
N3.HOG0000468	OG0000375	n0		WP_152063187.1	WP_102337493.1		
N3.HOG0000469	OG0000376	n0		WP_152063137.1	WP_102337431.1		
N3.HOG0000470	OG0000377	n0		WP_152063364.1	WP_102337316.1		
N3.HOG0000471	OG0000378	n0		WP_006723977.1	WP_102337949.1		
N3.HOG0000472	OG0000379	n0		WP_152062812.1	WP_102337716.1		
N3.HOG0000473	OG0000380	n0		WP_152062798.1	WP_234346113.1		
N3.HOG0000474	OG0000381	n0		WP_152062795.1	WP_102337230.1		
N3.HOG0000475	OG0000382	n0		WP_152062841.1	WP_102338278.1		
N3.HOG0000476	OG0000383	n0		WP_152062921.1, WP_226803323.1, WP_226803324.1, WP_118272398.1			
N3.HOG0000477	OG0000384	n0		WP_006723207.1	WP_102338340.1		
N3.HOG0000478	OG0000385	n0		WP_152063048.1	WP_102337388.1		
N3.HOG0000479	OG0000386	n0		WP_118271253.1	WP_102337519.1		
N3.HOG0000480	OG0000387	n0		WP_152063787.1	WP_102337951.1		
N3.HOG0000481	OG0000388	n0		WP_152062702.1			
N3.HOG0000482	OG0000389	n0		WP_006723768.1	WP_102338281.1		
N3.HOG0000483	OG0000390	n0		WP_152062701.1			
N3.HOG0000484	OG0000391	n0		WP_152062984.1	WP_102337330.1		
N3.HOG0000485	OG0000392	n0		WP_152062982.1	WP_102337329.1		
N3.HOG0000486	OG0000393	n0		WP_226803185.1	WP_102337685.1		
N3.HOG0000487	OG0000394	n0		WP_152063370.1	WP_102338486.1		
N3.HOG0000488	OG0000395	n0		WP_152063543.1	WP_102338274.1		
N3.HOG0000489	OG0000396	n0		WP_193221196.1	WP_159060068.1		
N3.HOG0000490	OG0000397	n0		WP_152062713.1	WP_199824842.1		
N3.HOG0000491	OG0000398	n0		WP_193221229.1	WP_234346239.1		
N3.HOG0000492	OG0000399	n0		WP_006723622.1	WP_102337740.1		
N3.HOG0000493	OG0000400	n0		WP_152063482.1	WP_102338093.1		
N3.HOG0000494	OG0000401	n0		WP_152063818.1	WP_102337987.1		
N3.HOG0000495	OG0000402	n0		WP_039910423.1	WP_102337580.1, WP_102337710.1		
N3.HOG0000496	OG0000403	n0		WP_152062800.1	WP_102337748.1		
N3.HOG0000497	OG0000404	n0		WP_152063301.1	WP_102337625.1		
N3.HOG0000498	OG0000405	n0		WP_039910734.1	WP_102338342.1		
N3.HOG0000499	OG0000406	n0		WP_006723000.1	WP_102337753.1		
N3.HOG0000500	OG0000407	n0		WP_152063614.1	WP_102338558.1		
N3.HOG0000501	OG0000408	n0		WP_152063233.1	WP_102337509.1		
N3.HOG0000502	OG0000409	n0		WP_152063838.1, WP_152063837.1, WP_193221231.1	WP_102338473.1		
N3.HOG0000503	OG0000411	n0		WP_152062761.1	WP_102338048.1		
N3.HOG0000504	OG0000412	n0		WP_152063186.1	WP_102337492.1		
N3.HOG0000505	OG0000413	n0		WP_152063304.1	WP_102337628.1		
N3.HOG0000506	OG0000414	n0		WP_152063303.1	WP_102337627.1		
N3.HOG0000507	OG0000415	n0		WP_152063302.1	WP_102337626.1		
N3.HOG0000508	OG0000416	n0		WP_226803250.1	WP_234346184.1		
N3.HOG0000509	OG0000417	n0		WP_226803362.1	WP_102338446.1		
N3.HOG0000510	OG0000418	n0		WP_226803347.1	WP_234346338.1		
N3.HOG0000511	OG0000419	n0		WP_152063168.1	WP_102337473.1		
N3.HOG0000512	OG0000420	n0		WP_152063234.1	WP_102337510.1		
N3.HOG0000513	OG0000421	n0		WP_039910339.1	WP_006720939.1		
N3.HOG0000514	OG0000422	n0		WP_152062932.1	WP_102337301.1		
N3.HOG0000515	OG0000423	n0		WP_152063728.1	WP_102338470.1		
N3.HOG0000516	OG0000424	n0		WP_152062797.1	WP_102337233.1		
N3.HOG0000517	OG0000425	n0		WP_152062805.1	WP_102338543.1		
N3.HOG0000518	OG0000426	n0		WP_152062882.1	WP_234346200.1		
N3.HOG0000519	OG0000427	n0		WP_006722450.1	WP_102337569.1		
N3.HOG0000520	OG0000428	n0		WP_152063243.1	WP_234346170.1		
N3.HOG0000521	OG0000429	n0		WP_006722684.1	WP_102337437.1		
N3.HOG0000522	OG0000431	n0		WP_152063181.1	WP_102337488.1		
N3.HOG0000523	OG0000432	n0		WP_152063830.1	WP_102338333.1		
N3.HOG0000524	OG0000433	n0		WP_152063380.1	WP_102337272.1		
N3.HOG0000525	OG0000435	n0		WP_152063001.1	WP_102337346.1		
N3.HOG0000526	OG0000436	n0		WP_152063165.1	WP_102337471.1		
N3.HOG0000527	OG0000437	n0		WP_152063136.1	WP_102337430.1		
N3.HOG0000528	OG0000438	n0		WP_152062949.1	WP_102337288.1		
N3.HOG0000529	OG0000439	n0		WP_006723709.1	WP_102337978.1		
N3.HOG0000530	OG0000440	n0		WP_152062711.1	WP_102338037.1		
N3.HOG0000531	OG0000441	n0		WP_152062839.1	WP_102337997.1		
N3.HOG0000532	OG0000442	n0		WP_152063076.1	WP_102337424.1		
N3.HOG0000533	OG0000443	n0		WP_152063446.1	WP_102338145.1		
N3.HOG0000534	OG0000444	n0		WP_152062833.1	WP_102338017.1		
N3.HOG0000535	OG0000445	n0		WP_039910700.1	WP_102338016.1		
N3.HOG0000536	OG0000446	n0		WP_006723288.1	WP_102337972.1		
N3.HOG0000537	OG0000447	n0		WP_152063796.1	WP_102337960.1		
N3.HOG0000538	OG0000448	n0		WP_152063792.1	WP_234346230.1		
N3.HOG0000539	OG0000449	n0		WP_152063791.1	WP_102337956.1		
N3.HOG0000540	OG0000450	n0		WP_152063790.1	WP_102337955.1		
N3.HOG0000541	OG0000451	n1		WP_006723255.1	WP_102337944.1		
N3.HOG0000542	OG0000451	n3		WP_118272036.1			
N3.HOG0000543	OG0000452	n0		WP_152063593.1	WP_102337937.1		
N3.HOG0000544	OG0000453	n0		WP_152063005.1	WP_102337347.1		
N3.HOG0000545	OG0000454	n0		WP_152062886.1, WP_152062880.1	WP_102337759.1		
N3.HOG0000546	OG0000455	n0		WP_152062879.1	WP_102337765.1		
N3.HOG0000547	OG0000456	n0		WP_152062878.1	WP_102337766.1		
N3.HOG0000548	OG0000457	n0		WP_226803179.1	WP_234346361.1		
N3.HOG0000549	OG0000458	n0		WP_152063695.1			
N3.HOG0000550	OG0000459	n0		WP_152063693.1	WP_102338417.1		
N3.HOG0000551	OG0000460	n0		WP_006723113.1	WP_102338412.1		
N3.HOG0000552	OG0000461	n0		WP_193221164.1	WP_102337453.1		
N3.HOG0000553	OG0000462	n0		WP_152063159.1	WP_102337461.1		
N3.HOG0000554	OG0000463	n0		WP_152063160.1	WP_102337462.1		
N3.HOG0000555	OG0000464	n0		WP_152063161.1	WP_102337463.1		
N3.HOG0000556	OG0000465	n0		WP_006722652.1	WP_102337465.1		
N3.HOG0000557	OG0000466	n0		WP_006722651.1	WP_102337466.1		
N3.HOG0000558	OG0000467	n0		WP_152063162.1	WP_102337467.1		
N3.HOG0000559	OG0000468	n0		WP_152063166.1	WP_102337472.1		
N3.HOG0000560	OG0000469	n0		WP_152063198.1	WP_102337505.1		
N3.HOG0000561	OG0000470	n0		WP_152063235.1	WP_102337511.1		
N3.HOG0000562	OG0000471	n0		WP_193221197.1			
N3.HOG0000563	OG0000472	n0		WP_152063253.1	WP_102337542.1		
N3.HOG0000564	OG0000473	n0		WP_152063255.1	WP_102337544.1		
N3.HOG0000565	OG0000474	n0		WP_152063473.1	WP_102338102.1		
N3.HOG0000566	OG0000476	n0		WP_152063447.1	WP_102338143.1		
N3.HOG0000567	OG0000477	n0		WP_152063524.1	WP_234346310.1		
N3.HOG0000568	OG0000478	n0		WP_152063724.1	WP_102338478.1		
N3.HOG0000569	OG0000479	n0		WP_226803345.1	WP_199824894.1		
N3.HOG0000570	OG0000480	n0		WP_152063713.1	WP_102337969.1		
N3.HOG0000571	OG0000481	n0		WP_006723122.1	WP_102337795.1		
N3.HOG0000572	OG0000482	n0		WP_226803342.1	WP_102337800.1		
N3.HOG0000573	OG0000483	n0		WP_152062732.1	WP_102338227.1		
N3.HOG0000574	OG0000484	n0		WP_152062814.1	WP_102337714.1		
N3.HOG0000575	OG0000485	n0		WP_152062815.1	WP_102337712.1		
N3.HOG0000576	OG0000486	n0		WP_152063240.1	WP_102337516.1		
N3.HOG0000577	OG0000487	n0		WP_152063150.1	WP_234346158.1		
N3.HOG0000578	OG0000488	n0		WP_006723794.1	WP_102338276.1		
N3.HOG0000579	OG0000489	n0		WP_006723600.1	WP_234346306.1		
N3.HOG0000580	OG0000490	n0		WP_152062759.1	WP_102338055.1		
N3.HOG0000581	OG0000491	n0		WP_152062935.1	WP_102337986.1		
N3.HOG0000582	OG0000492	n0		WP_152063355.1	WP_102337307.1		
N3.HOG0000583	OG0000494	n0		WP_152062699.1	WP_102338275.1		
N3.HOG0000584	OG0000495	n0		WP_152062945.1	WP_102337287.1		
N3.HOG0000585	OG0000496	n0		WP_152063008.1	WP_102337364.1		
N3.HOG0000586	OG0000497	n0		WP_006722492.1	WP_102337538.1		
N3.HOG0000587	OG0000498	n0		WP_039910217.1	WP_102337571.1		
N3.HOG0000588	OG0000499	n0		WP_152063843.1	WP_102338282.1		
N3.HOG0000589	OG0000500	n0		WP_152062793.1	WP_102338248.1		
N3.HOG0000590	OG0000501	n0		WP_039910310.1	WP_102337691.1		
N3.HOG0000591	OG0000502	n0		WP_152063504.1	WP_102338156.1		
N3.HOG0000592	OG0000503	n0		WP_152063812.1	WP_102338567.1		
N3.HOG0000593	OG0000504	n0		WP_152062941.1	WP_102337645.1		
N3.HOG0000594	OG0000505	n0		WP_152062887.1	WP_102337750.1		
N3.HOG0000595	OG0000506	n0		WP_118103710.1	WP_102337320.1		
N3.HOG0000596	OG0000507	n0		WP_152063172.1	WP_102337477.1		
N3.HOG0000597	OG0000508	n0		WP_006723013.1	WP_102337769.1		
N3.HOG0000598	OG0000509	n0		WP_118272243.1	WP_102338247.1		
N3.HOG0000599	OG0000510	n0		WP_152062697.1	WP_102338285.1		
N3.HOG0000600	OG0000512	n0		WP_006723782.1	WP_102338014.1		
N3.HOG0000601	OG0000513	n0		WP_152063687.1	WP_102337793.1		
N3.HOG0000602	OG0000514	n0		WP_152063768.1	WP_102338343.1		
N3.HOG0000603	OG0000515	n0		WP_152062863.1	WP_102338457.1		
N3.HOG0000604	OG0000517	n0		WP_152063192.1	WP_102337498.1		
N3.HOG0000605	OG0000518	n0		WP_152062766.1	WP_102338045.1		
N3.HOG0000606	OG0000519	n0		WP_152062765.1	WP_102338046.1		
N3.HOG0000607	OG0000520	n0		WP_152062737.1	WP_102338263.1		
N3.HOG0000608	OG0000521	n0		WP_152063831.1	WP_102337229.1		
N3.HOG0000609	OG0000522	n0		WP_006723049.1	WP_102338401.1		
N3.HOG0000610	OG0000523	n0		WP_152063525.1	WP_102338267.1		
N3.HOG0000611	OG0000524	n0		WP_152063194.1	WP_102337500.1		
N3.HOG0000612	OG0000525	n0		WP_152063247.1	WP_102337532.1		
N3.HOG0000613	OG0000526	n0		WP_226803320.1	WP_234346312.1		
N3.HOG0000614	OG0000527	n0		WP_226803276.1	WP_102337240.1		
N3.HOG0000615	OG0000528	n0		WP_152063065.1	WP_102337409.1		
N3.HOG0000616	OG0000529	n0		WP_118271424.1	WP_102337267.1		
N3.HOG0000617	OG0000530	n0		WP_006723493.1	WP_102338142.1		
N3.HOG0000618	OG0000531	n0		WP_152063444.1	WP_102338146.1		
N3.HOG0000619	OG0000532	n0		WP_152062749.1	WP_102338062.1		
N3.HOG0000620	OG0000534	n0		WP_152063468.1	WP_102338107.1		
N3.HOG0000621	OG0000535	n0		WP_152063469.1	WP_102338106.1		
N3.HOG0000622	OG0000536	n0		WP_152063479.1	WP_102338094.1		
N3.HOG0000623	OG0000537	n0		WP_152063481.1	WP_234346269.1		
N3.HOG0000624	OG0000538	n0		WP_152062696.1	WP_102338286.1		
N3.HOG0000625	OG0000539	n0		WP_152062695.1	WP_102338287.1		
N3.HOG0000626	OG0000540	n0		WP_152062694.1	WP_102338277.1		
N3.HOG0000627	OG0000541	n0		WP_152062834.1	WP_102338015.1		
N3.HOG0000628	OG0000542	n0		WP_152063503.1	WP_102338155.1		
N3.HOG0000629	OG0000543	n0		WP_152063514.1	WP_102338200.1		
N3.HOG0000630	OG0000544	n0		WP_152062731.1	WP_102338203.1		
N3.HOG0000631	OG0000545	n0		WP_152063540.1	WP_102338270.1		
N3.HOG0000632	OG0000546	n0		WP_152063541.1	WP_102338272.1		
N3.HOG0000633	OG0000547	n0		WP_152063545.1	WP_102338033.1		
N3.HOG0000634	OG0000548	n0		WP_152062950.1	WP_102337289.1		
N3.HOG0000635	OG0000549	n0		WP_006723310.1	WP_102338030.1		
N3.HOG0000636	OG0000550	n0		WP_152063549.1	WP_102338029.1		
N3.HOG0000637	OG0000551	n0		WP_226803326.1	WP_102337921.1		
N3.HOG0000638	OG0000552	n0		WP_152063577.1	WP_102337992.1		
N3.HOG0000639	OG0000553	n0		WP_152063579.1	WP_234346246.1		
N3.HOG0000640	OG0000554	n0		WP_152063582.1	WP_102337989.1		
N3.HOG0000641	OG0000555	n0		WP_152063810.1	WP_102338620.1		
N3.HOG0000642	OG0000556	n0		WP_118271848.1	WP_102338297.1		
N3.HOG0000643	OG0000557	n0		WP_152063809.1	WP_102338298.1		
N3.HOG0000644	OG0000558	n0		WP_152063808.1	WP_102338299.1		
N3.HOG0000645	OG0000559	n0		WP_006723866.1	WP_102338036.1		
N3.HOG0000646	OG0000560	n0		WP_152062721.1	WP_102338224.1		
N3.HOG0000647	OG0000561	n0		WP_152063800.1	WP_102337961.1		
N3.HOG0000648	OG0000562	n0		WP_152063607.1	WP_102337919.1		
N3.HOG0000649	OG0000563	n0		WP_152063609.1	WP_102337917.1		
N3.HOG0000650	OG0000564	n2		WP_152063489.1			
N3.HOG0000651	OG0000565	n0		WP_152063615.1	WP_102338339.1		
N3.HOG0000652	OG0000566	n0		WP_152063616.1	WP_102337890.1		
N3.HOG0000653	OG0000567	n0		WP_193221213.1	WP_102337889.1		
N3.HOG0000654	OG0000568	n0		WP_152063667.1	WP_102337882.1		
N3.HOG0000655	OG0000569	n0		WP_152063668.1	WP_102337881.1		
N3.HOG0000656	OG0000571	n1		WP_193221198.1			
N3.HOG0000657	OG0000571	n2		WP_152063672.1	WP_102338365.1		
N3.HOG0000658	OG0000572	n0		WP_152063674.1	WP_102338369.1		
N3.HOG0000659	OG0000573	n0		WP_152063675.1	WP_102338370.1		
N3.HOG0000660	OG0000574	n0		WP_152063652.1	WP_102337869.1		
N3.HOG0000661	OG0000575	n0		WP_152063621.1	WP_102338552.1		
N3.HOG0000662	OG0000576	n0		WP_152063691.1	WP_102338413.1		
N3.HOG0000663	OG0000577	n0		WP_152063692.1	WP_234346329.1		
N3.HOG0000664	OG0000578	n0		WP_226803337.1			
N3.HOG0000665	OG0000579	n0		WP_006723075.1	WP_102338437.1		
N3.HOG0000666	OG0000582	n0		WP_006723031.1	WP_102337779.1		
N3.HOG0000667	OG0000583	n0		WP_152062877.1	WP_102337768.1		
N3.HOG0000668	OG0000584	n0		WP_118272059.1	WP_102338292.1		
N3.HOG0000669	OG0000585	n0		WP_118102768.1	WP_102337755.1		
N3.HOG0000670	OG0000586	n0		WP_152062905.1	WP_102337399.1		
N3.HOG0000671	OG0000587	n0		WP_152062907.1	WP_102337683.1		
N3.HOG0000672	OG0000588	n0		WP_152063521.1	WP_102337900.1		
N3.HOG0000673	OG0000589	n0		WP_152063390.1	WP_102337262.1		
N3.HOG0000674	OG0000590	n0		WP_152063389.1	WP_102337805.1		
N3.HOG0000675	OG0000591	n0		WP_226803270.1	WP_159060010.1		
N3.HOG0000676	OG0000592	n0		WP_152063385.1	WP_102337266.1		
N3.HOG0000677	OG0000593	n0		WP_152063378.1	WP_102337274.1		
N3.HOG0000678	OG0000594	n0		WP_152063376.1	WP_102337276.1		
N3.HOG0000679	OG0000595	n0		WP_152063373.1	WP_102337279.1		
N3.HOG0000680	OG0000596	n0		WP_152063371.1	WP_102337281.1		
N3.HOG0000681	OG0000597	n0		WP_152063350.1	WP_102337312.1		
N3.HOG0000682	OG0000598	n0		WP_152062902.1	WP_102337690.1		
N3.HOG0000683	OG0000599	n0		WP_152063313.1	WP_102337644.1		
N3.HOG0000684	OG0000600	n0		WP_118271333.1	WP_102337643.1		
N3.HOG0000685	OG0000601	n0		WP_152062980.1	WP_102337328.1		
N3.HOG0000686	OG0000602	n0		WP_118271544.1	WP_102337333.1		
N3.HOG0000687	OG0000603	n0		WP_152063002.1	WP_102337344.1		
N3.HOG0000688	OG0000604	n0			WP_102337353.1		
N3.HOG0000689	OG0000605	n0		WP_152063010.1	WP_159060015.1		
N3.HOG0000690	OG0000606	n0		WP_152063197.1	WP_102337504.1		
N3.HOG0000691	OG0000607	n0		WP_152063195.1	WP_102337501.1		
N3.HOG0000692	OG0000608	n0		WP_152063193.1	WP_102337499.1		
N3.HOG0000693	OG0000609	n0		WP_152063189.1	WP_102337494.1		
N3.HOG0000694	OG0000610	n0		WP_152063184.1	WP_102337490.1		
N3.HOG0000695	OG0000611	n0		WP_152063183.1	WP_199824822.1		
N3.HOG0000696	OG0000612	n0		WP_152063182.1	WP_102337489.1		
N3.HOG0000697	OG0000613	n0		WP_152063177.1	WP_102337484.1		
N3.HOG0000698	OG0000614	n0		WP_152063175.1	WP_102337483.1		
N3.HOG0000699	OG0000615	n0		WP_152063171.1	WP_102337476.1		
N3.HOG0000700	OG0000616	n0		WP_152063170.1	WP_102337475.1		
N3.HOG0000701	OG0000617	n0		WP_193221187.1	WP_102337474.1		
N3.HOG0000702	OG0000618	n0		WP_152063073.1	WP_102337421.1		
N3.HOG0000703	OG0000619	n0		WP_152063074.1	WP_102338506.1		
N3.HOG0000704	OG0000620	n0		WP_226803220.1	WP_102337432.1		
N3.HOG0000705	OG0000621	n0		WP_152063139.1	WP_102337433.1		
N3.HOG0000706	OG0000622	n0		WP_152063261.1	WP_102337556.1		
N3.HOG0000707	OG0000623	n0		WP_152063260.1	WP_102337552.1		
N3.HOG0000708	OG0000624	n0		WP_226803236.1	WP_102337551.1		
N3.HOG0000709	OG0000625	n0		WP_152063258.1	WP_159060022.1		
N3.HOG0000710	OG0000626	n0		WP_152063257.1	WP_102337549.1		
N3.HOG0000711	OG0000627	n0		WP_193221171.1	WP_234346169.1		
N3.HOG0000712	OG0000628	n0		WP_226803230.1	WP_102337514.1		
N3.HOG0000713	OG0000629	n0		WP_152063237.1	WP_102338520.1		
N3.HOG0000714	OG0000630	n0		WP_152063236.1	WP_102337512.1		
N3.HOG0000715	OG0000631	n0		WP_152063231.1	WP_102337507.1		
N3.HOG0000716	OG0000632	n0		WP_152063164.1	WP_102337470.1		
N3.HOG0000717	OG0000633	n0		WP_226803222.1	WP_102337454.1		
N3.HOG0000718	OG0000634	n0		WP_152063148.1	WP_199824821.1		
N3.HOG0000719	OG0000635	n0		WP_152063147.1	WP_102337439.1		
N3.HOG0000720	OG0000636	n0		WP_152063144.1	WP_102337436.1		
N3.HOG0000721	OG0000637	n0		WP_152063143.1	WP_102337434.1		
N3.HOG0000722	OG0000638	n0		WP_193221155.1	WP_102337390.1		
N3.HOG0000723	OG0000639	n0		WP_152063049.1	WP_102337389.1		
N3.HOG0000724	OG0000640	n0		WP_152063044.1	WP_102337386.1		
N3.HOG0000725	OG0000641	n0		WP_006722760.1	WP_102337387.1		
N3.HOG0000726	OG0000642	n0		WP_152063043.1	WP_102337385.1		
N3.HOG0000727	OG0000643	n0		WP_226803210.1	WP_102337376.1		
N3.HOG0000728	OG0000644	n0		WP_152063241.1	WP_102337517.1		
N3.HOG0000729	OG0000645	n0		WP_006722507.1	WP_102337520.1		
N3.HOG0000730	OG0000646	n0		WP_006722502.1	WP_102337528.1		
N3.HOG0000731	OG0000647	n0		WP_118271260.1	WP_102337533.1		
N3.HOG0000732	OG0000648	n0		WP_006722489.1	WP_102337541.1		
N3.HOG0000733	OG0000649	n0		WP_152063067.1	WP_102337412.1		
N3.HOG0000734	OG0000650	n0		WP_152063066.1	WP_234346138.1		
N3.HOG0000735	OG0000651	n0		WP_006722723.1	WP_102337407.1		
