HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N0.HOG0000177	OG0000126	n0	WP_117634693.1	WP_006723455.1	WP_102338108.1	WP_042436301.1, WP_042432246.1	WP_129423489.1
N0.HOG0000178	OG0000127	n0	WP_117635777.1		WP_102337965.1, WP_102337967.1, WP_102338188.1	WP_042432121.1	WP_129423407.1
N0.HOG0000179	OG0000128	n0	WP_117640103.1, WP_124785831.1	WP_152063671.1	WP_102338364.1	WP_042435716.1	WP_129424656.1
N0.HOG0000180	OG0000129	n0	WP_124786312.1, WP_117640543.1	WP_152063324.1	WP_102338462.1, WP_159060067.1		WP_117628938.1
N0.HOG0000181	OG0000130	n0	WP_117646636.1	WP_152062738.1	WP_102338262.1	WP_042432753.1, WP_238318243.1	WP_129423248.1
N0.HOG0000182	OG0000131	n0	WP_117773385.1, WP_124786147.1	WP_152063264.1	WP_102337557.1	WP_042434083.1	WP_129422924.1
N0.HOG0000183	OG0000132	n0	WP_117773483.1	WP_152063690.1	WP_102337788.1	WP_042434753.1	WP_129424982.1, WP_129424176.1
N0.HOG0000184	OG0000133	n0	WP_117773504.1	WP_152063158.1	WP_102337456.1	WP_042434205.1	WP_236648310.1, WP_129422873.1
N0.HOG0000185	OG0000134	n0	WP_117774253.1	WP_152062710.1	WP_102337547.1, WP_102338064.1	WP_042432155.1	WP_129423424.1
N0.HOG0000186	OG0000135	n0	WP_117840105.1, WP_241154660.1, WP_241154604.1, WP_117778979.1	WP_152063602.1	WP_102337935.1		
N0.HOG0000187	OG0000136	n0	WP_117806836.1	WP_152062819.1	WP_102337705.1	WP_238318258.1	WP_129423246.1, WP_161566587.1
N0.HOG0000188	OG0000137	n0	WP_124786276.1, WP_117820254.1	WP_152063244.1	WP_102337526.1	WP_202898117.1	WP_129424025.1
N0.HOG0000189	OG0000138	n0	WP_124786359.1, WP_117840168.1	WP_152063733.1	WP_102338449.1	WP_042436582.1	WP_129425532.1
N0.HOG0000190	OG0000139	n0	WP_117840247.1	WP_152063851.1	WP_102337728.1, WP_102337895.1	WP_081468878.1	WP_129423270.1
N0.HOG0000191	OG0000140	n0	WP_118226807.1	WP_152063337.1, WP_152063367.1, WP_152063660.1, WP_152063321.1	WP_102338465.1		
N0.HOG0000192	OG0000141	n0	WP_124785842.1, WP_118328585.1	WP_006723721.1, WP_006722307.1, WP_152063392.1	WP_102337985.1		
N0.HOG0000193	OG0000142	n0	WP_118334449.1	WP_152063019.1	WP_102338496.1	WP_042436071.1	WP_129425009.1, WP_129424984.1
N0.HOG0000194	OG0000143	n0	WP_124786293.1, WP_124786295.1, WP_124786292.1, WP_124785733.1			WP_042435157.1	WP_129422851.1
N0.HOG0000195	OG0000144	n0	WP_124785763.1	WP_152062741.1	WP_102338010.1	WP_042435914.1, WP_202898047.1	WP_201738719.1
N0.HOG0000196	OG0000145	n0	WP_124785766.1, WP_124786467.1	WP_152063502.1	WP_102338154.1	WP_238318232.1	WP_236648248.1
N0.HOG0000197	OG0000146	n0	WP_124785817.1	WP_152063555.1		WP_052297904.1, WP_052297909.1, WP_238318308.1	WP_129424865.1
N0.HOG0000198	OG0000147	n0	WP_124785932.1			WP_042436758.1	WP_129423284.1, WP_161566594.1, WP_129422791.1, WP_129423599.1
N0.HOG0000199	OG0000148	n0	WP_124785969.1			WP_042435894.1, WP_042433136.1	WP_161566633.1, WP_129425842.1, WP_129423120.1
N0.HOG0000200	OG0000149	n0	WP_124786025.1, WP_124786008.1	WP_226803180.1, WP_152063682.1	WP_102337752.1, WP_102338243.1		
N0.HOG0000201	OG0000150	n0	WP_124786072.1	WP_152063551.1, WP_152063353.1	WP_102337310.1	WP_202898027.1	WP_201738668.1
N0.HOG0000202	OG0000151	n0	WP_124786164.1	WP_118271163.1	WP_102337441.1	WP_042435995.1	WP_129425596.1, WP_129424895.1
N0.HOG0000203	OG0000152	n0	WP_124786640.1, WP_124786215.1	WP_152062963.1	WP_102338320.1, WP_102338319.1, WP_102337658.1		
N0.HOG0000204	OG0000153	n0	WP_124786235.1	WP_006722725.1	WP_102337358.1, WP_102337405.1	WP_042434527.1	WP_129424374.1
N0.HOG0000205	OG0000154	n0	WP_124786307.1	WP_152063289.1	WP_102337602.1	WP_042436083.1	WP_129423959.1, WP_201738666.1
N0.HOG0000206	OG0000155	n0	WP_124786334.1	WP_152063362.1	WP_102337724.1, WP_102337319.1	WP_042433999.1	WP_129422947.1
N0.HOG0000207	OG0000156	n0	WP_124786391.1	WP_152062821.1, WP_152062716.1	WP_102337245.1	WP_042436283.1	WP_129425824.1
N0.HOG0000208	OG0000157	n0	WP_124786464.1	WP_152063329.1		WP_042433116.1	WP_129425333.1, WP_129423126.1, WP_201738609.1
N0.HOG0000209	OG0000158	n0	WP_124786503.1			WP_042432607.1, WP_202898030.1	WP_201738634.1, WP_129422970.1, WP_201738644.1
N0.HOG0000210	OG0000159	n0	WP_124786525.1	WP_152063575.1	WP_102337968.1	WP_042436779.1	WP_129422969.1, WP_129425538.1
N0.HOG0000211	OG0000160	n0	WP_124786533.1, WP_124786539.1, WP_197032104.1	WP_152063598.1	WP_102338003.1, WP_102338389.1		
N0.HOG0000212	OG0000161	n0	WP_124786598.1	WP_152062733.1	WP_102338266.1, WP_102338468.1	WP_042432484.1	WP_201738640.1
N0.HOG0000213	OG0000162	n0	WP_124786604.1	WP_152062777.1	WP_102338079.1, WP_102338245.1	WP_042434444.1	WP_129424465.1
N0.HOG0000214	OG0000163	n0	WP_124786623.1	WP_152062698.1	WP_102338065.1, WP_199824825.1	WP_042437065.1	WP_129425075.1
N0.HOG0000215	OG0000164	n0	WP_124786631.1	WP_152063494.1	WP_102337877.1, WP_102338067.1	WP_042432751.1	WP_129423249.1
N0.HOG0000216	OG0000165	n0	WP_124786687.1	WP_152063206.1, WP_152062856.1	WP_102338379.1	WP_042435001.1	WP_129423983.1
N0.HOG0000217	OG0000166	n0	WP_124786700.1	WP_152063216.1, WP_152063018.1		WP_042436062.1, WP_042435447.1	WP_201738796.1
N0.HOG0000218	OG0000167	n0	WP_164473273.1	WP_152063806.1	WP_234346318.1	WP_162096592.1, WP_202898088.1	WP_129422861.1
N0.HOG0000219	OG0000168	n0	WP_164473275.1	WP_226803310.1		WP_042435494.1	WP_161566628.1, WP_129425443.1, WP_161566709.1
N0.HOG0000220	OG0000169	n0	WP_164473320.1	WP_152063327.1, WP_152062896.1	WP_102338295.1	WP_162096579.1	WP_161566646.1
N0.HOG0000221	OG0000170	n0	WP_164473324.1	WP_152063317.1	WP_234346218.1, WP_102338467.1, WP_234346348.1		WP_129423109.1
N0.HOG0000222	OG0000171	n0	WP_164473349.1	WP_193221150.1	WP_234346181.1, WP_102338460.1	WP_042434441.1	WP_129424468.1
N0.HOG0000223	OG0000172	n0	WP_172674638.1	WP_193221177.1	WP_102338052.1, WP_102337635.1	WP_238318254.1	WP_201738599.1
N0.HOG0000224	OG0000173	n0	WP_199412404.1		WP_102337355.1	WP_042436041.1	WP_129425015.1, WP_236648294.1, WP_129424957.1
N0.HOG0000225	OG0000174	n0		WP_006722528.1	WP_102337593.1	WP_042435898.1	WP_129423286.1, WP_129424701.1, WP_129425383.1
N0.HOG0000226	OG0000175	n0		WP_152062970.1, WP_152063311.1	WP_102337322.1, WP_102337639.1	WP_042432048.1	WP_129423739.1
N0.HOG0000227	OG0000176	n0		WP_152063495.1		WP_042433113.1, WP_042434396.1, WP_202898094.1	WP_129425630.1, WP_129422800.1
N0.HOG0000228	OG0000177	n0		WP_152063677.1		WP_042432231.1, WP_042434240.1, WP_042434030.1	WP_129423475.1, WP_129422863.1
N0.HOG0000229	OG0000178	n0			WP_102338176.1, WP_102338177.1	WP_081469012.1, WP_202898140.1	WP_129424833.1, WP_201738754.1
N0.HOG0000230	OG0000179	n0				WP_042436447.1, WP_042434421.1, WP_042434402.1	WP_129424500.1, WP_129424486.1, WP_129422799.1
N0.HOG0000231	OG0000180	n0	WP_006233982.1	WP_118103422.1	WP_102337521.1	WP_042434922.1	WP_129424034.1
N0.HOG0000232	OG0000181	n0	WP_006233983.1	WP_006722505.1	WP_102337522.1	WP_202898134.1	WP_129424027.1
N0.HOG0000233	OG0000182	n0	WP_006234038.1	WP_006722460.1	WP_102337564.1	WP_042434375.1	WP_129422806.1
N0.HOG0000234	OG0000183	n0	WP_006234042.1	WP_152063269.1	WP_102337566.1	WP_042434381.1	WP_129422803.1
N0.HOG0000235	OG0000184	n0	WP_006234242.1	WP_006722411.1	WP_102337609.1	WP_042433346.1	WP_129423050.1
N0.HOG0000236	OG0000185	n0	WP_006234269.1	WP_006722386.1	WP_102337634.1	WP_042433305.1	WP_129423068.1
N0.HOG0000237	OG0000186	n0	WP_006234311.1	WP_039910177.1	WP_102337315.1	WP_042433993.1	WP_129422949.1
N0.HOG0000238	OG0000187	n0	WP_006234422.1	WP_006723875.1	WP_102338482.1	WP_042434638.1	WP_129425166.1
N0.HOG0000239	OG0000188	n0	WP_006234690.1	WP_118102598.1	WP_102338368.1	WP_042432390.1	WP_129423623.1
N0.HOG0000240	OG0000189	n0	WP_006234774.1	WP_118102501.1	WP_102338183.1	WP_042434827.1	WP_129424112.1
N0.HOG0000241	OG0000190	n0	WP_006234957.1	WP_152063686.1	WP_102337796.1	WP_042432722.1	WP_129423261.1
N0.HOG0000242	OG0000191	n0	WP_006234960.1	WP_006723120.1	WP_102337794.1	WP_042434763.1	WP_129424164.1
N0.HOG0000243	OG0000192	n0	WP_006234984.1	WP_006723105.1	WP_102338418.1	WP_042434717.1	WP_129424202.1
N0.HOG0000244	OG0000193	n0	WP_006235012.1	WP_039910333.1	WP_102338391.1	WP_042433264.1	WP_129423086.1
N0.HOG0000245	OG0000194	n0	WP_006235013.1	WP_006723068.1	WP_102338392.1	WP_042433267.1	WP_129423085.1
N0.HOG0000246	OG0000195	n0	WP_006235032.1	WP_006723051.1	WP_102338399.1	WP_042433275.1	WP_129423082.1
N0.HOG0000247	OG0000196	n0	WP_006235033.1	WP_006723050.1	WP_102338400.1	WP_042433278.1	WP_129423081.1
N0.HOG0000248	OG0000197	n0	WP_006235035.1	WP_006723048.1	WP_102338402.1	WP_042432869.1	WP_129423200.1
N0.HOG0000249	OG0000198	n0	WP_006235036.1	WP_152062869.1	WP_102338403.1	WP_042432872.1	WP_129423199.1
N0.HOG0000250	OG0000199	n0	WP_006235037.1	WP_152062870.1	WP_102338404.1	WP_042432875.1	WP_129423198.1
N0.HOG0000251	OG0000200	n0	WP_006235039.1	WP_006723045.1	WP_102338406.1	WP_009306348.1	WP_009306348.1
N0.HOG0000252	OG0000201	n0	WP_006235040.1	WP_006723044.1	WP_102338407.1	WP_042432881.1	WP_129423196.1
N0.HOG0000253	OG0000202	n0	WP_006235041.1	WP_006720295.1	WP_006720295.1	WP_042432884.1	WP_042432884.1
N0.HOG0000254	OG0000203	n0	WP_006235043.1	WP_006723043.1	WP_102338408.1	WP_187364758.1	WP_201738821.1
N0.HOG0000255	OG0000204	n0	WP_006235069.1	WP_193221126.1	WP_199824841.1	WP_042432175.1	WP_129423435.1
N0.HOG0000256	OG0000205	n0	WP_006235124.1	WP_152063558.1	WP_102337993.1	WP_042432560.1	WP_129423346.1
N0.HOG0000257	OG0000206	n0	WP_006235152.1	WP_006723314.1	WP_102338032.1	WP_042437063.1	WP_129425073.1
N0.HOG0000258	OG0000207	n0	WP_006235174.1	WP_006723383.1	WP_102338168.1	WP_042434781.1	WP_129424154.1
N0.HOG0000259	OG0000208	n0	WP_006235180.1	WP_006723393.1	WP_102338157.1	WP_042432199.1	WP_129423450.1
N0.HOG0000260	OG0000209	n0	WP_006235262.1	WP_006723038.1	WP_102337786.1	WP_042432896.1	WP_129423193.1
N0.HOG0000261	OG0000210	n0	WP_006235263.1	WP_006723037.1	WP_102337785.1	WP_042432900.1	WP_129423192.1
N0.HOG0000262	OG0000211	n0	WP_006235264.1	WP_006723036.1	WP_102337784.1	WP_042432903.1	WP_129423191.1
N0.HOG0000263	OG0000212	n0	WP_006235266.1	WP_006723034.1	WP_102337782.1	WP_042432910.1	WP_129423189.1
N0.HOG0000264	OG0000213	n0	WP_006235267.1	WP_006723033.1	WP_102337781.1	WP_042432913.1	WP_129423188.1
N0.HOG0000265	OG0000214	n0	WP_006235270.1	WP_118102730.1	WP_102337778.1	WP_042434709.1	WP_129424208.1
N0.HOG0000266	OG0000215	n0	WP_006235274.1	WP_006723026.1	WP_102337776.1	WP_042436927.1	WP_129423812.1
N0.HOG0000267	OG0000216	n0	WP_006235275.1	WP_006723025.1	WP_102337775.1	WP_042436924.1	WP_129423814.1
N0.HOG0000268	OG0000217	n0	WP_006235276.1	WP_118271669.1	WP_102337774.1	WP_042436921.1	WP_129423816.1
N0.HOG0000269	OG0000218	n0	WP_006235277.1	WP_118102736.1	WP_102337773.1	WP_042436918.1	WP_129423818.1
N0.HOG0000270	OG0000219	n0	WP_006235280.1	WP_039910324.1	WP_102337771.1	WP_238318326.1	WP_129423908.1
N0.HOG0000271	OG0000220	n0	WP_006235303.1	WP_006723011.1	WP_102337767.1	WP_042433290.1	WP_129423077.1
N0.HOG0000272	OG0000221	n0	WP_006235414.1	WP_152063661.1	WP_102337282.1	WP_042435877.1	WP_129424825.1
N0.HOG0000273	OG0000222	n0	WP_006235561.1	WP_152063004.1	WP_102337342.1	WP_042436489.1	WP_129425766.1
N0.HOG0000274	OG0000223	n0	WP_006235606.1	WP_039910715.1	WP_102338222.1	WP_042435683.1	WP_129424624.1
N0.HOG0000275	OG0000224	n0	WP_006235712.1	WP_118272239.1	WP_102338251.1	WP_042435058.1	WP_201738685.1
N0.HOG0000276	OG0000225	n0	WP_006235713.1	WP_006723596.1	WP_102338252.1	WP_042435055.1	WP_129423933.1
N0.HOG0000277	OG0000226	n0	WP_006235716.1	WP_006723598.1	WP_102338254.1	WP_042435050.1	WP_129423935.1
N0.HOG0000278	OG0000227	n0	WP_006235717.1	WP_006723599.1	WP_102338255.1	WP_042435046.1	WP_129423937.1
N0.HOG0000279	OG0000228	n0	WP_006235731.1	WP_039910709.1	WP_199824853.1	WP_238318233.1	WP_129423460.1
N0.HOG0000280	OG0000229	n0	WP_006235810.1	WP_152062757.1	WP_102338056.1	WP_042432234.1	WP_129423477.1
N0.HOG0000281	OG0000230	n0	WP_006235829.1	WP_006723464.1	WP_102338110.1	WP_042432253.1	WP_042432253.1
N0.HOG0000282	OG0000231	n0	WP_006235831.1	WP_118102345.1	WP_006721899.1	WP_042432258.1	WP_129423495.1
N0.HOG0000283	OG0000232	n0	WP_006235976.1	WP_006722649.1	WP_102337468.1	WP_042434175.1	WP_129422885.1
N0.HOG0000284	OG0000233	n0	WP_006235982.1	WP_118103255.1	WP_102337464.1	WP_042434188.1	WP_129422881.1
N0.HOG0000285	OG0000234	n0	WP_006236061.1	WP_006722612.1	WP_102338516.1	WP_042434605.1	WP_042434605.1
N0.HOG0000286	OG0000235	n0	WP_006236075.1	WP_006722622.1	WP_102337487.1	WP_042433844.1	WP_129423006.1
N0.HOG0000287	OG0000236	n0	WP_006236098.1	WP_006721252.1	WP_102337420.1	WP_042433961.1	WP_129422961.1
N0.HOG0000288	OG0000237	n0	WP_006236109.1	WP_039910265.1	WP_102337426.1	WP_042432840.1	WP_129423215.1
N0.HOG0000289	OG0000238	n0	WP_006236112.1	WP_118103185.1	WP_102337429.1	WP_238318329.1	WP_236648326.1
N0.HOG0000290	OG0000239	n0	WP_006236123.1	WP_006722469.1	WP_102337559.1	WP_238318286.1	WP_129422926.1
N0.HOG0000291	OG0000240	n0	WP_006236130.1	WP_039910222.1	WP_102337555.1	WP_042434102.1	WP_129422916.1
N0.HOG0000292	OG0000241	n0	WP_006236191.1	WP_152063450.1	WP_102338138.1	WP_081468856.1	WP_129423527.1
N0.HOG0000293	OG0000242	n0	WP_006363204.1	WP_006363204.1	WP_006363204.1	WP_006363204.1	WP_006363204.1
N0.HOG0000294	OG0000243	n0	WP_019127408.1	WP_039910401.1	WP_102338139.1	WP_042432297.1	WP_042432297.1
N0.HOG0000295	OG0000244	n0	WP_022093781.1	WP_039910259.1	WP_102337457.1	WP_042434204.1	WP_129422874.1
N0.HOG0000296	OG0000245	n0	WP_022093797.1	WP_193221193.1	WP_102338113.1	WP_042436955.1	WP_129423798.1
N0.HOG0000297	OG0000246	n0	WP_022093800.1	WP_006723484.1	WP_102338133.1	WP_181859460.1	WP_201738828.1
N0.HOG0000298	OG0000247	n0	WP_022093802.1	WP_152063452.1	WP_102338135.1	WP_042432302.1	WP_129423533.1
N0.HOG0000299	OG0000248	n0	WP_022093892.1	WP_006723103.1	WP_102338419.1	WP_042434711.1	WP_129424206.1
N0.HOG0000300	OG0000249	n0	WP_022094017.1	WP_039910269.1	WP_102337408.1	WP_042434518.1	WP_129424380.1
N0.HOG0000301	OG0000250	n0	WP_022094123.1	WP_006720998.1	WP_102338483.1	WP_042434636.1	WP_129425164.1
N0.HOG0000302	OG0000251	n0	WP_022094183.1	WP_006723067.1	WP_102338393.1	WP_042433269.1	WP_129423084.1
N0.HOG0000303	OG0000252	n0	WP_022094184.1	WP_039910332.1	WP_102338394.1	WP_042433704.1	WP_042433704.1
N0.HOG0000304	OG0000253	n0	WP_022094262.1	WP_118272240.1	WP_102338250.1	WP_042435060.1	WP_042435060.1
N0.HOG0000305	OG0000254	n0	WP_022094263.1	WP_152062782.1	WP_102338249.1	WP_042435062.1	WP_129423930.1
N0.HOG0000306	OG0000255	n0	WP_022094275.1	WP_006723027.1	WP_102337777.1	WP_042436929.1	WP_129423810.1
N0.HOG0000307	OG0000256	n0	WP_022094280.1	WP_039910329.1	WP_039910329.1	WP_042432893.1	WP_022370037.1
N0.HOG0000308	OG0000257	n0	WP_022094351.1	WP_006723971.1	WP_102338358.1	WP_042432634.1	WP_129423314.1
N0.HOG0000309	OG0000258	n0	WP_124785821.1, WP_022094440.1, WP_226814256.1, WP_124785810.1	WP_226803190.1			
N0.HOG0000310	OG0000259	n0	WP_022094448.1	WP_152062852.1	WP_102337833.1, WP_102338444.1		WP_201738748.1
N0.HOG0000311	OG0000260	n0	WP_022094482.1	WP_152063308.1	WP_102337633.1	WP_202898054.1	WP_236648230.1
N0.HOG0000312	OG0000261	n0	WP_022094514.1	WP_152063544.1	WP_102338034.1	WP_042434577.1	WP_129424330.1
N0.HOG0000313	OG0000262	n0	WP_022094615.1	WP_152063785.1	WP_102337948.1	WP_042435372.1	WP_129425470.1
N0.HOG0000314	OG0000263	n0	WP_022094634.1	WP_006723148.1	WP_102338363.1	WP_042432566.1	WP_129423344.1
N0.HOG0000315	OG0000264	n0	WP_022094635.1	WP_152063670.1	WP_102338362.1	WP_042432563.1	WP_129423345.1
N0.HOG0000316	OG0000265	n0	WP_022094721.1	WP_193221188.1	WP_199824873.1	WP_081468927.1	WP_129422918.1
N0.HOG0000317	OG0000266	n0	WP_022094725.1	WP_006721280.1	WP_102337400.1	WP_042434542.1	WP_129424364.1
N0.HOG0000318	OG0000267	n0	WP_022094736.1	WP_152063078.1	WP_102337427.1	WP_042432842.1	WP_129423214.1
N0.HOG0000319	OG0000268	n0	WP_022094749.1	WP_006722631.1	WP_102337482.1	WP_042434499.1	WP_129424396.1
N0.HOG0000320	OG0000269	n0	WP_022094821.1	WP_152063003.1	WP_102337343.1	WP_042436492.1	WP_129425764.1
N0.HOG0000321	OG0000270	n0	WP_022094855.1	WP_039910428.1	WP_102338484.1	WP_042432493.1	WP_129423372.1
N0.HOG0000322	OG0000271	n0	WP_022094864.1	WP_152062799.1	WP_234346114.1	WP_042435988.1	WP_129424879.1
N0.HOG0000323	OG0000272	n0	WP_022094876.1	WP_152062807.1	WP_102337731.1	WP_081468885.1	WP_129423181.1
N0.HOG0000324	OG0000273	n0	WP_022094878.1	WP_152062809.1	WP_102337720.1	WP_114621217.1	WP_201738804.1
N0.HOG0000325	OG0000274	n0	WP_022094882.1	WP_152062813.1	WP_102337715.1	WP_042434344.1	WP_129422817.1
N0.HOG0000326	OG0000275	n0	WP_022094898.1	WP_152063683.1	WP_102337798.1	WP_042433928.1	WP_236648320.1
N0.HOG0000327	OG0000276	n0	WP_022095139.1	WP_152063379.1	WP_102337273.1	WP_042432480.1	WP_129423379.1
N0.HOG0000328	OG0000277	n0	WP_022095149.1	WP_152063604.1	WP_102337933.1, WP_102338321.1, WP_102338025.1		
N0.HOG0000329	OG0000278	n0	WP_022095182.1	WP_006722436.1	WP_102337584.1	WP_187364750.1	WP_201738812.1
N0.HOG0000330	OG0000279	n0	WP_022095232.1	WP_006722287.1	WP_102337308.1	WP_042434903.1	WP_129424050.1
N0.HOG0000331	OG0000280	n0	WP_035136481.1	WP_193221129.1	WP_199824844.1	WP_042432519.1	WP_129423355.1
N0.HOG0000332	OG0000281	n0	WP_035136732.1	WP_152063505.1	WP_102338158.1	WP_042432196.1	WP_129423448.1
N0.HOG0000333	OG0000282	n0	WP_035136929.1	WP_152063622.1	WP_199824835.1	WP_042433225.1	WP_236648231.1
N0.HOG0000334	OG0000283	n0	WP_035137351.1	WP_118103763.1	WP_102337270.1	WP_081469063.1	WP_129425510.1
N0.HOG0000335	OG0000284	n0	WP_035137437.1	WP_006723016.1	WP_199824829.1	WP_042436811.1	WP_129423920.1
N0.HOG0000336	OG0000285	n0	WP_035137443.1	WP_039910571.1	WP_009141477.1	WP_042436934.1	WP_042436934.1
N0.HOG0000337	OG0000286	n0	WP_035137685.1	WP_006723981.1	WP_102337953.1	WP_042435669.1	WP_129424614.1
N0.HOG0000338	OG0000287	n0	WP_035138144.1	WP_152063068.1	WP_102337413.1	WP_042434504.1	WP_129424392.1
N0.HOG0000339	OG0000288	n0	WP_035138185.1	WP_006722499.1	WP_102337531.1	WP_042434954.1	WP_129424007.1
N0.HOG0000340	OG0000289	n0	WP_035138200.1	WP_152063242.1	WP_102337518.1	WP_042433296.1	WP_129423072.1
N0.HOG0000341	OG0000290	n0	WP_035138510.1	WP_006721138.1	WP_102337506.1	WP_042434157.1	WP_129422894.1
N0.HOG0000342	OG0000291	n0	WP_035138532.1	WP_039910223.1	WP_102337553.1	WP_042434108.1	WP_129422914.1
N0.HOG0000343	OG0000292	n0	WP_035138537.1	WP_118271280.1	WP_102337558.1	WP_042434081.1	WP_129422925.1
N0.HOG0000344	OG0000293	n0	WP_035138585.1	WP_039910251.1	WP_102338515.1	WP_042433842.1	WP_129423007.1
N0.HOG0000345	OG0000294	n0	WP_035138721.1	WP_006723843.1	WP_102338210.1	WP_042432465.1	WP_129423392.1
N0.HOG0000346	OG0000295	n0	WP_035138893.1	WP_152062806.1	WP_234346360.1	WP_042432938.1	WP_129423178.1
N0.HOG0000347	OG0000296	n0	WP_040358176.1	WP_006722724.1	WP_102337406.1	WP_042434524.1	WP_129424376.1
N0.HOG0000348	OG0000297	n0	WP_040359532.1	WP_118104086.1	WP_102338204.1	WP_222859225.1	WP_236648244.1
N0.HOG0000349	OG0000298	n0	WP_040359862.1	WP_039910258.1	WP_102337459.1	WP_042434202.1	WP_129422876.1
N0.HOG0000350	OG0000299	n0	WP_040359955.1	WP_006722701.1	WP_102337428.1	WP_042436881.1	WP_129423858.1
N0.HOG0000351	OG0000300	n0	WP_055249986.1	WP_152063185.1	WP_102337491.1	WP_042434596.1	WP_129424305.1
N0.HOG0000352	OG0000301	n0	WP_055250008.1	WP_152063173.1	WP_102337479.1	WP_042434490.1	WP_129424402.1
N0.HOG0000353	OG0000302	n0	WP_055250135.1	WP_152063154.1	WP_102337447.1	WP_042434545.1	WP_129424362.1
N0.HOG0000354	OG0000303	n0	WP_055250137.1	WP_152063153.1	WP_102337446.1	WP_081468969.1	WP_201738710.1
N0.HOG0000355	OG0000304	n0	WP_055250140.1	WP_152063151.1	WP_102337444.1	WP_042434552.1	WP_129424358.1
N0.HOG0000356	OG0000305	n0	WP_055250142.1	WP_039910262.1	WP_102337443.1	WP_202898154.1	WP_201738738.1
N0.HOG0000357	OG0000306	n0	WP_055250144.1	WP_193221163.1	WP_102337442.1	WP_042435991.1	WP_129424893.1
N0.HOG0000358	OG0000307	n0	WP_055250258.1	WP_118102682.1	WP_102338436.1	WP_042435380.1	WP_129425466.1
N0.HOG0000359	OG0000308	n0	WP_055250391.1	WP_152063039.1, WP_152063036.1	WP_102337381.1, WP_102338497.1		
N0.HOG0000360	OG0000309	n0	WP_055250542.1	WP_226803360.1	WP_234346237.1	WP_148514769.1	WP_129426123.1
N0.HOG0000361	OG0000310	n0	WP_055250876.1	WP_118271400.1	WP_102337284.1	WP_042437053.1	WP_129424707.1
N0.HOG0000362	OG0000311	n0	WP_055250934.1	WP_152063381.1	WP_102337271.1	WP_042436613.1	WP_129425512.1
N0.HOG0000363	OG0000312	n0	WP_055250947.1	WP_006722211.1	WP_102337264.1	WP_238318237.1	WP_129423396.1
N0.HOG0000364	OG0000313	n0	WP_055250987.1	WP_118271744.1	WP_102337883.1	WP_042436539.1	WP_129425269.1
N0.HOG0000365	OG0000314	n0	WP_055251013.1	WP_006723144.1	WP_102338366.1	WP_042432922.1	WP_129423184.1
N0.HOG0000366	OG0000315	n0	WP_055251253.1	WP_152063563.1	WP_102337974.1	WP_042433253.1	WP_129423090.1
N0.HOG0000367	OG0000316	n0	WP_055251674.1	WP_152063299.1	WP_102337622.1	WP_042433334.1	WP_129423055.1
N0.HOG0000368	OG0000317	n0	WP_055251691.1	WP_006722409.1	WP_102337611.1	WP_042433340.1	WP_129423052.1
N0.HOG0000369	OG0000318	n0	WP_055251725.1	WP_211203994.1	WP_102337305.1	WP_042434618.1	WP_042434618.1
N0.HOG0000370	OG0000319	n0	WP_055251823.1	WP_039910419.1	WP_102337737.1	WP_042432940.1	WP_129423177.1
N0.HOG0000371	OG0000320	n0	WP_055252065.1	WP_152063400.1	WP_102337238.1	WP_042435168.1	WP_236648315.1
N0.HOG0000372	OG0000321	n0	WP_055252067.1	WP_039910316.1	WP_102337237.1	WP_042434296.1	WP_129422834.1
N0.HOG0000373	OG0000322	n0	WP_055252068.1	WP_152062890.1	WP_102337236.1	WP_042434299.1	WP_129422833.1
N0.HOG0000374	OG0000323	n0	WP_055252160.1	WP_152062707.1	WP_102338042.1	WP_081468953.1	WP_129424052.1
N0.HOG0000375	OG0000324	n0	WP_055252194.1	WP_006723764.1	WP_102338283.1	WP_042432952.1	WP_129423172.1
N0.HOG0000376	OG0000325	n0	WP_055252236.1	WP_006723035.1	WP_102337783.1	WP_042432906.1	WP_129423190.1
N0.HOG0000377	OG0000326	n0	WP_055252447.1	WP_152063761.1	WP_102337888.1	WP_042432830.1	WP_129423218.1
N0.HOG0000378	OG0000327	n0	WP_055252487.1	WP_152062776.1	WP_102338244.1	WP_042435202.1	WP_129426149.1
N0.HOG0000379	OG0000328	n0	WP_055252564.1	WP_152063342.1	WP_102337636.1	WP_042433303.1	WP_129423069.1
N0.HOG0000380	OG0000329	n0	WP_055252569.1	WP_226803157.1	WP_102338234.1	WP_042432164.1	WP_129423429.1
N0.HOG0000381	OG0000330	n0	WP_164473281.1, WP_055285183.1			WP_081468890.1	WP_201738665.1, WP_201738729.1
N0.HOG0000382	OG0000331	n0	WP_055285343.1	WP_152063518.1	WP_102338231.1	WP_052297942.1	WP_129423787.1
N0.HOG0000383	OG0000332	n0	WP_055285525.1	WP_193221226.1	WP_199824838.1	WP_238318240.1	WP_129423323.1
N0.HOG0000384	OG0000333	n0	WP_055286388.1	WP_006722465.1	WP_102337560.1	WP_238318282.1	WP_236648321.1
N0.HOG0000385	OG0000334	n0	WP_055309418.1	WP_006723110.1	WP_102338415.1	WP_042435704.1	WP_129424644.1
