HOG	OG	Gene Tree Parent Clade	collinsella_aerofaciens	collinsella_intestinalis	collinsella_provencensis	senegalimassilia_anaerobia	senegalimassilia_faecalis
N2.HOG0000293	OG0000184	n0	WP_006234242.1	WP_006722411.1	WP_102337609.1		
N2.HOG0000294	OG0000185	n0	WP_006234269.1	WP_006722386.1	WP_102337634.1		
N2.HOG0000295	OG0000186	n0	WP_006234311.1	WP_039910177.1	WP_102337315.1		
N2.HOG0000296	OG0000187	n0	WP_006234422.1	WP_006723875.1	WP_102338482.1		
N2.HOG0000297	OG0000188	n0	WP_006234690.1	WP_118102598.1	WP_102338368.1		
N2.HOG0000298	OG0000189	n0	WP_006234774.1	WP_118102501.1	WP_102338183.1		
N2.HOG0000299	OG0000190	n0	WP_006234957.1	WP_152063686.1	WP_102337796.1		
N2.HOG0000300	OG0000191	n0	WP_006234960.1	WP_006723120.1	WP_102337794.1		
N2.HOG0000301	OG0000192	n0	WP_006234984.1	WP_006723105.1	WP_102338418.1		
N2.HOG0000302	OG0000193	n0	WP_006235012.1	WP_039910333.1	WP_102338391.1		
N2.HOG0000303	OG0000194	n0	WP_006235013.1	WP_006723068.1	WP_102338392.1		
N2.HOG0000304	OG0000195	n0	WP_006235032.1	WP_006723051.1	WP_102338399.1		
N2.HOG0000305	OG0000196	n0	WP_006235033.1	WP_006723050.1	WP_102338400.1		
N2.HOG0000306	OG0000197	n0	WP_006235035.1	WP_006723048.1	WP_102338402.1		
N2.HOG0000307	OG0000198	n0	WP_006235036.1	WP_152062869.1	WP_102338403.1		
N2.HOG0000308	OG0000199	n0	WP_006235037.1	WP_152062870.1	WP_102338404.1		
N2.HOG0000309	OG0000200	n0	WP_006235039.1	WP_006723045.1	WP_102338406.1		
N2.HOG0000310	OG0000201	n0	WP_006235040.1	WP_006723044.1	WP_102338407.1		
N2.HOG0000311	OG0000202	n0	WP_006235041.1	WP_006720295.1	WP_006720295.1		
N2.HOG0000312	OG0000203	n0	WP_006235043.1	WP_006723043.1	WP_102338408.1		
N2.HOG0000313	OG0000204	n0	WP_006235069.1	WP_193221126.1	WP_199824841.1		
N2.HOG0000314	OG0000205	n0	WP_006235124.1	WP_152063558.1	WP_102337993.1		
N2.HOG0000315	OG0000206	n0	WP_006235152.1	WP_006723314.1	WP_102338032.1		
N2.HOG0000316	OG0000207	n0	WP_006235174.1	WP_006723383.1	WP_102338168.1		
N2.HOG0000317	OG0000208	n0	WP_006235180.1	WP_006723393.1	WP_102338157.1		
N2.HOG0000318	OG0000209	n0	WP_006235262.1	WP_006723038.1	WP_102337786.1		
N2.HOG0000319	OG0000210	n0	WP_006235263.1	WP_006723037.1	WP_102337785.1		
N2.HOG0000320	OG0000211	n0	WP_006235264.1	WP_006723036.1	WP_102337784.1		
N2.HOG0000321	OG0000212	n0	WP_006235266.1	WP_006723034.1	WP_102337782.1		
N2.HOG0000322	OG0000213	n0	WP_006235267.1	WP_006723033.1	WP_102337781.1		
N2.HOG0000323	OG0000214	n0	WP_006235270.1	WP_118102730.1	WP_102337778.1		
N2.HOG0000324	OG0000215	n0	WP_006235274.1	WP_006723026.1	WP_102337776.1		
N2.HOG0000325	OG0000216	n0	WP_006235275.1	WP_006723025.1	WP_102337775.1		
N2.HOG0000326	OG0000217	n0	WP_006235276.1	WP_118271669.1	WP_102337774.1		
N2.HOG0000327	OG0000218	n0	WP_006235277.1	WP_118102736.1	WP_102337773.1		
N2.HOG0000328	OG0000219	n0	WP_006235280.1	WP_039910324.1	WP_102337771.1		
N2.HOG0000329	OG0000220	n0	WP_006235303.1	WP_006723011.1	WP_102337767.1		
N2.HOG0000330	OG0000221	n0	WP_006235414.1	WP_152063661.1	WP_102337282.1		
N2.HOG0000331	OG0000222	n0	WP_006235561.1	WP_152063004.1	WP_102337342.1		
N2.HOG0000332	OG0000223	n0	WP_006235606.1	WP_039910715.1	WP_102338222.1		
N2.HOG0000333	OG0000224	n0	WP_006235712.1	WP_118272239.1	WP_102338251.1		
N2.HOG0000334	OG0000225	n0	WP_006235713.1	WP_006723596.1	WP_102338252.1		
N2.HOG0000335	OG0000226	n0	WP_006235716.1	WP_006723598.1	WP_102338254.1		
N2.HOG0000336	OG0000227	n0	WP_006235717.1	WP_006723599.1	WP_102338255.1		
N2.HOG0000337	OG0000228	n0	WP_006235731.1	WP_039910709.1	WP_199824853.1		
N2.HOG0000338	OG0000229	n0	WP_006235810.1	WP_152062757.1	WP_102338056.1		
N2.HOG0000339	OG0000230	n0	WP_006235829.1	WP_006723464.1	WP_102338110.1		
N2.HOG0000340	OG0000231	n0	WP_006235831.1	WP_118102345.1	WP_006721899.1		
N2.HOG0000341	OG0000232	n0	WP_006235976.1	WP_006722649.1	WP_102337468.1		
N2.HOG0000342	OG0000233	n0	WP_006235982.1	WP_118103255.1	WP_102337464.1		
N2.HOG0000343	OG0000234	n0	WP_006236061.1	WP_006722612.1	WP_102338516.1		
N2.HOG0000344	OG0000235	n0	WP_006236075.1	WP_006722622.1	WP_102337487.1		
N2.HOG0000345	OG0000236	n0	WP_006236098.1	WP_006721252.1	WP_102337420.1		
N2.HOG0000346	OG0000237	n0	WP_006236109.1	WP_039910265.1	WP_102337426.1		
N2.HOG0000347	OG0000238	n0	WP_006236112.1	WP_118103185.1	WP_102337429.1		
N2.HOG0000348	OG0000239	n0	WP_006236123.1	WP_006722469.1	WP_102337559.1		
N2.HOG0000349	OG0000240	n0	WP_006236130.1	WP_039910222.1	WP_102337555.1		
N2.HOG0000350	OG0000241	n0	WP_006236191.1	WP_152063450.1	WP_102338138.1		
N2.HOG0000351	OG0000242	n0	WP_006363204.1	WP_006363204.1	WP_006363204.1		
N2.HOG0000352	OG0000243	n0	WP_019127408.1	WP_039910401.1	WP_102338139.1		
N2.HOG0000353	OG0000244	n0	WP_022093781.1	WP_039910259.1	WP_102337457.1		
N2.HOG0000354	OG0000245	n0	WP_022093797.1	WP_193221193.1	WP_102338113.1		
N2.HOG0000355	OG0000246	n0	WP_022093800.1	WP_006723484.1	WP_102338133.1		
N2.HOG0000356	OG0000247	n0	WP_022093802.1	WP_152063452.1	WP_102338135.1		
N2.HOG0000357	OG0000248	n0	WP_022093892.1	WP_006723103.1	WP_102338419.1		
N2.HOG0000358	OG0000249	n0	WP_022094017.1	WP_039910269.1	WP_102337408.1		
N2.HOG0000359	OG0000250	n0	WP_022094123.1	WP_006720998.1	WP_102338483.1		
N2.HOG0000360	OG0000251	n0	WP_022094183.1	WP_006723067.1	WP_102338393.1		
N2.HOG0000361	OG0000252	n0	WP_022094184.1	WP_039910332.1	WP_102338394.1		
N2.HOG0000362	OG0000253	n0	WP_022094262.1	WP_118272240.1	WP_102338250.1		
N2.HOG0000363	OG0000254	n0	WP_022094263.1	WP_152062782.1	WP_102338249.1		
N2.HOG0000364	OG0000255	n0	WP_022094275.1	WP_006723027.1	WP_102337777.1		
N2.HOG0000365	OG0000256	n0	WP_022094280.1	WP_039910329.1	WP_039910329.1		
N2.HOG0000366	OG0000257	n0	WP_022094351.1	WP_006723971.1	WP_102338358.1		
N2.HOG0000367	OG0000258	n0	WP_124785821.1, WP_022094440.1, WP_226814256.1, WP_124785810.1	WP_226803190.1			
N2.HOG0000368	OG0000259	n0	WP_022094448.1	WP_152062852.1	WP_102337833.1, WP_102338444.1		
N2.HOG0000369	OG0000260	n0	WP_022094482.1	WP_152063308.1	WP_102337633.1		
N2.HOG0000370	OG0000261	n0	WP_022094514.1	WP_152063544.1	WP_102338034.1		
N2.HOG0000371	OG0000262	n0	WP_022094615.1	WP_152063785.1	WP_102337948.1		
N2.HOG0000372	OG0000263	n0	WP_022094634.1	WP_006723148.1	WP_102338363.1		
N2.HOG0000373	OG0000264	n0	WP_022094635.1	WP_152063670.1	WP_102338362.1		
N2.HOG0000374	OG0000265	n0	WP_022094721.1	WP_193221188.1	WP_199824873.1		
N2.HOG0000375	OG0000266	n0	WP_022094725.1	WP_006721280.1	WP_102337400.1		
N2.HOG0000376	OG0000267	n0	WP_022094736.1	WP_152063078.1	WP_102337427.1		
N2.HOG0000377	OG0000268	n0	WP_022094749.1	WP_006722631.1	WP_102337482.1		
N2.HOG0000378	OG0000269	n0	WP_022094821.1	WP_152063003.1	WP_102337343.1		
N2.HOG0000379	OG0000270	n0	WP_022094855.1	WP_039910428.1	WP_102338484.1		
N2.HOG0000380	OG0000271	n0	WP_022094864.1	WP_152062799.1	WP_234346114.1		
N2.HOG0000381	OG0000272	n0	WP_022094876.1	WP_152062807.1	WP_102337731.1		
N2.HOG0000382	OG0000273	n0	WP_022094878.1	WP_152062809.1	WP_102337720.1		
N2.HOG0000383	OG0000274	n0	WP_022094882.1	WP_152062813.1	WP_102337715.1		
N2.HOG0000384	OG0000275	n0	WP_022094898.1	WP_152063683.1	WP_102337798.1		
N2.HOG0000385	OG0000276	n0	WP_022095139.1	WP_152063379.1	WP_102337273.1		
N2.HOG0000386	OG0000277	n0	WP_022095149.1	WP_152063604.1	WP_102337933.1, WP_102338321.1, WP_102338025.1		
N2.HOG0000387	OG0000278	n0	WP_022095182.1	WP_006722436.1	WP_102337584.1		
N2.HOG0000388	OG0000279	n0	WP_022095232.1	WP_006722287.1	WP_102337308.1		
N2.HOG0000389	OG0000280	n0	WP_035136481.1	WP_193221129.1	WP_199824844.1		
N2.HOG0000390	OG0000281	n0	WP_035136732.1	WP_152063505.1	WP_102338158.1		
N2.HOG0000391	OG0000282	n0	WP_035136929.1	WP_152063622.1	WP_199824835.1		
N2.HOG0000392	OG0000283	n0	WP_035137351.1	WP_118103763.1	WP_102337270.1		
N2.HOG0000393	OG0000284	n0	WP_035137437.1	WP_006723016.1	WP_199824829.1		
N2.HOG0000394	OG0000285	n0	WP_035137443.1	WP_039910571.1	WP_009141477.1		
N2.HOG0000395	OG0000286	n0	WP_035137685.1	WP_006723981.1	WP_102337953.1		
N2.HOG0000396	OG0000287	n0	WP_035138144.1	WP_152063068.1	WP_102337413.1		
N2.HOG0000397	OG0000288	n0	WP_035138185.1	WP_006722499.1	WP_102337531.1		
N2.HOG0000398	OG0000289	n0	WP_035138200.1	WP_152063242.1	WP_102337518.1		
N2.HOG0000399	OG0000290	n0	WP_035138510.1	WP_006721138.1	WP_102337506.1		
N2.HOG0000400	OG0000291	n0	WP_035138532.1	WP_039910223.1	WP_102337553.1		
N2.HOG0000401	OG0000292	n0	WP_035138537.1	WP_118271280.1	WP_102337558.1		
N2.HOG0000402	OG0000293	n0	WP_035138585.1	WP_039910251.1	WP_102338515.1		
N2.HOG0000403	OG0000294	n0	WP_035138721.1	WP_006723843.1	WP_102338210.1		
N2.HOG0000404	OG0000295	n0	WP_035138893.1	WP_152062806.1	WP_234346360.1		
N2.HOG0000405	OG0000296	n0	WP_040358176.1	WP_006722724.1	WP_102337406.1		
N2.HOG0000406	OG0000297	n0	WP_040359532.1	WP_118104086.1	WP_102338204.1		
N2.HOG0000407	OG0000298	n0	WP_040359862.1	WP_039910258.1	WP_102337459.1		
N2.HOG0000408	OG0000299	n0	WP_040359955.1	WP_006722701.1	WP_102337428.1		
N2.HOG0000409	OG0000300	n0	WP_055249986.1	WP_152063185.1	WP_102337491.1		
N2.HOG0000410	OG0000301	n0	WP_055250008.1	WP_152063173.1	WP_102337479.1		
N2.HOG0000411	OG0000302	n0	WP_055250135.1	WP_152063154.1	WP_102337447.1		
N2.HOG0000412	OG0000303	n0	WP_055250137.1	WP_152063153.1	WP_102337446.1		
N2.HOG0000413	OG0000304	n0	WP_055250140.1	WP_152063151.1	WP_102337444.1		
N2.HOG0000414	OG0000305	n0	WP_055250142.1	WP_039910262.1	WP_102337443.1		
N2.HOG0000415	OG0000306	n0	WP_055250144.1	WP_193221163.1	WP_102337442.1		
N2.HOG0000416	OG0000307	n0	WP_055250258.1	WP_118102682.1	WP_102338436.1		
N2.HOG0000417	OG0000308	n0	WP_055250391.1	WP_152063039.1, WP_152063036.1	WP_102337381.1, WP_102338497.1		
N2.HOG0000418	OG0000309	n0	WP_055250542.1	WP_226803360.1	WP_234346237.1		
N2.HOG0000419	OG0000310	n0	WP_055250876.1	WP_118271400.1	WP_102337284.1		
N2.HOG0000420	OG0000311	n0	WP_055250934.1	WP_152063381.1	WP_102337271.1		
N2.HOG0000421	OG0000312	n0	WP_055250947.1	WP_006722211.1	WP_102337264.1		
N2.HOG0000422	OG0000313	n0	WP_055250987.1	WP_118271744.1	WP_102337883.1		
N2.HOG0000423	OG0000314	n0	WP_055251013.1	WP_006723144.1	WP_102338366.1		
N2.HOG0000424	OG0000315	n0	WP_055251253.1	WP_152063563.1	WP_102337974.1		
N2.HOG0000425	OG0000316	n0	WP_055251674.1	WP_152063299.1	WP_102337622.1		
N2.HOG0000426	OG0000317	n0	WP_055251691.1	WP_006722409.1	WP_102337611.1		
N2.HOG0000427	OG0000318	n0	WP_055251725.1	WP_211203994.1	WP_102337305.1		
N2.HOG0000428	OG0000319	n0	WP_055251823.1	WP_039910419.1	WP_102337737.1		
N2.HOG0000429	OG0000320	n0	WP_055252065.1	WP_152063400.1	WP_102337238.1		
N2.HOG0000430	OG0000321	n0	WP_055252067.1	WP_039910316.1	WP_102337237.1		
N2.HOG0000431	OG0000322	n0	WP_055252068.1	WP_152062890.1	WP_102337236.1		
N2.HOG0000432	OG0000323	n0	WP_055252160.1	WP_152062707.1	WP_102338042.1		
N2.HOG0000433	OG0000324	n0	WP_055252194.1	WP_006723764.1	WP_102338283.1		
N2.HOG0000434	OG0000325	n0	WP_055252236.1	WP_006723035.1	WP_102337783.1		
N2.HOG0000435	OG0000326	n0	WP_055252447.1	WP_152063761.1	WP_102337888.1		
N2.HOG0000436	OG0000327	n0	WP_055252487.1	WP_152062776.1	WP_102338244.1		
N2.HOG0000437	OG0000328	n0	WP_055252564.1	WP_152063342.1	WP_102337636.1		
N2.HOG0000438	OG0000329	n0	WP_055252569.1	WP_226803157.1	WP_102338234.1		
N2.HOG0000439	OG0000330	n0	WP_164473281.1, WP_055285183.1				
N2.HOG0000440	OG0000331	n0	WP_055285343.1	WP_152063518.1	WP_102338231.1		
N2.HOG0000441	OG0000332	n0	WP_055285525.1	WP_193221226.1	WP_199824838.1		
N2.HOG0000442	OG0000333	n0	WP_055286388.1	WP_006722465.1	WP_102337560.1		
N2.HOG0000443	OG0000334	n0	WP_055309418.1	WP_006723110.1	WP_102338415.1		
N2.HOG0000444	OG0000335	n0	WP_082421874.1	WP_006723811.1	WP_199824881.1		
N2.HOG0000445	OG0000336	n0	WP_082421942.1	WP_118272202.1	WP_102338137.1		
N2.HOG0000446	OG0000337	n0	WP_082435590.1	WP_152063745.1	WP_102338424.1		
N2.HOG0000447	OG0000338	n0	WP_089571579.1	WP_152063305.1	WP_102337629.1		
N2.HOG0000448	OG0000339	n0	WP_089571585.1	WP_152063298.1	WP_102337613.1		
N2.HOG0000449	OG0000340	n0	WP_089571912.1	WP_152063145.1	WP_102337438.1		
N2.HOG0000450	OG0000341	n0	WP_089572163.1	WP_006722223.1	WP_102337268.1		
N2.HOG0000451	OG0000342	n0	WP_089572175.1	WP_152063388.1	WP_102337263.1		
N2.HOG0000452	OG0000343	n0	WP_124785814.1, WP_117647586.1, WP_089572477.1, WP_117564943.1	WP_118272399.1			
N2.HOG0000453	OG0000344	n0	WP_089572481.1	WP_006723052.1	WP_102338398.1		
N2.HOG0000454	OG0000345	n0	WP_089572520.1	WP_006723109.1	WP_102338416.1		
N2.HOG0000455	OG0000346	n0	WP_089572532.1	WP_006723124.1	WP_102337797.1		
N2.HOG0000456	OG0000347	n0	WP_089572584.1	WP_006723463.1	WP_102338109.1		
N2.HOG0000457	OG0000348	n0	WP_089572694.1	WP_152063857.1	WP_102338569.1		
N2.HOG0000458	OG0000349	n0	WP_089573257.1	WP_152063508.1	WP_102338169.1		
N2.HOG0000459	OG0000350	n0	WP_089573296.1	WP_006723876.1	WP_102338648.1		
N2.HOG0000460	OG0000351	n0	WP_089573364.1	WP_006722668.1	WP_234346159.1		
N2.HOG0000461	OG0000352	n0	WP_089573561.1	WP_006723032.1	WP_102337780.1		
N2.HOG0000462	OG0000353	n0	WP_089573609.1	WP_006723619.1	WP_102337745.1		
N2.HOG0000463	OG0000354	n0	WP_089573611.1	WP_226803172.1	WP_102337738.1		
N2.HOG0000464	OG0000355	n0	WP_089573615.1	WP_006723630.1	WP_102337732.1		
N2.HOG0000465	OG0000356	n0	WP_089573670.1	WP_152062734.1	WP_102338265.1		
N2.HOG0000466	OG0000357	n0	WP_089573671.1	WP_152062735.1	WP_234346308.1		
N2.HOG0000467	OG0000358	n0	WP_089573672.1	WP_152062736.1	WP_102338264.1		
N2.HOG0000468	OG0000359	n0	WP_089573682.1	WP_006723561.1	WP_102338049.1		
N2.HOG0000469	OG0000360	n0	WP_099431435.1	WP_152062811.1	WP_102337718.1		
N2.HOG0000470	OG0000361	n0	WP_099431436.1	WP_006723640.1	WP_102337717.1		
N2.HOG0000471	OG0000362	n0	WP_099431635.1	WP_226803238.1	WP_234346175.1		
N2.HOG0000472	OG0000363	n0	WP_099431674.1	WP_152063246.1	WP_102337529.1		
N2.HOG0000473	OG0000364	n0	WP_099431806.1	WP_006722476.1	WP_102337554.1		
N2.HOG0000474	OG0000365	n0	WP_099432018.1	WP_152062881.1	WP_102337758.1		
N2.HOG0000475	OG0000366	n0	WP_099432166.1	WP_006723743.1	WP_102338332.1		
N2.HOG0000476	OG0000367	n0	WP_099432471.1	WP_152062708.1	WP_102338236.1		
N2.HOG0000477	OG0000368	n0	WP_117563514.1	WP_152063734.1	WP_102338448.1		
N2.HOG0000478	OG0000369	n0	WP_117563534.1	WP_118102479.1	WP_102337902.1		
N2.HOG0000479	OG0000370	n0	WP_117563814.1	WP_152063527.1	WP_102338288.1		
N2.HOG0000480	OG0000371	n0	WP_117563856.1	WP_006723739.1	WP_102338338.1		
N2.HOG0000481	OG0000372	n0	WP_117563965.1	WP_226803201.1	WP_102338493.1		
N2.HOG0000482	OG0000373	n0	WP_117564038.1	WP_152063477.1	WP_102338099.1		
N2.HOG0000483	OG0000374	n0	WP_117564039.1	WP_152063478.1	WP_102338095.1		
N2.HOG0000484	OG0000375	n0	WP_117564242.1	WP_152063187.1	WP_102337493.1		
N2.HOG0000485	OG0000376	n0	WP_117564265.1	WP_152063137.1	WP_102337431.1		
N2.HOG0000486	OG0000377	n0	WP_117564389.1	WP_152063364.1	WP_102337316.1		
N2.HOG0000487	OG0000378	n0	WP_117564743.1	WP_006723977.1	WP_102337949.1		
N2.HOG0000488	OG0000379	n0	WP_117564871.1	WP_152062812.1	WP_102337716.1		
N2.HOG0000489	OG0000380	n0	WP_117564881.1	WP_152062798.1	WP_234346113.1		
N2.HOG0000490	OG0000381	n0	WP_117564883.1	WP_152062795.1	WP_102337230.1		
N2.HOG0000491	OG0000382	n0	WP_117564915.1	WP_152062841.1	WP_102338278.1		
N2.HOG0000492	OG0000383	n0	WP_117564942.1	WP_152062921.1, WP_226803323.1, WP_226803324.1, WP_118272398.1			
N2.HOG0000493	OG0000384	n0	WP_117583361.1	WP_006723207.1	WP_102338340.1		
N2.HOG0000494	OG0000385	n0	WP_117583490.1	WP_152063048.1	WP_102337388.1		
N2.HOG0000495	OG0000386	n0	WP_117583507.1	WP_118271253.1	WP_102337519.1		
N2.HOG0000496	OG0000387	n0	WP_117583571.1	WP_152063787.1	WP_102337951.1		
N2.HOG0000497	OG0000388	n0	WP_117583579.1	WP_152062702.1			
N2.HOG0000498	OG0000389	n0	WP_117583590.1	WP_006723768.1	WP_102338281.1		
N2.HOG0000499	OG0000390	n0	WP_117772878.1, WP_117583629.1	WP_152062701.1			
N2.HOG0000500	OG0000391	n0	WP_117583748.1	WP_152062984.1	WP_102337330.1		
N2.HOG0000501	OG0000392	n0	WP_117583750.1	WP_152062982.1	WP_102337329.1		
N2.HOG0000502	OG0000393	n0	WP_117583949.1	WP_226803185.1	WP_102337685.1		
N2.HOG0000503	OG0000394	n0	WP_117584002.1	WP_152063370.1	WP_102338486.1		
N2.HOG0000504	OG0000395	n0	WP_117584170.1	WP_152063543.1	WP_102338274.1		
N2.HOG0000505	OG0000396	n0	WP_117584196.1	WP_193221196.1	WP_159060068.1		
N2.HOG0000506	OG0000397	n0	WP_117628983.1	WP_152062713.1	WP_199824842.1		
N2.HOG0000507	OG0000398	n0	WP_117628993.1	WP_193221229.1	WP_234346239.1		
N2.HOG0000508	OG0000399	n0	WP_117629769.1	WP_006723622.1	WP_102337740.1		
N2.HOG0000509	OG0000400	n0	WP_117629799.1	WP_152063482.1	WP_102338093.1		
N2.HOG0000510	OG0000401	n0	WP_117634311.1	WP_152063818.1	WP_102337987.1		
N2.HOG0000511	OG0000402	n0	WP_117635931.1	WP_039910423.1	WP_102337580.1, WP_102337710.1		
N2.HOG0000512	OG0000403	n0	WP_117635941.1	WP_152062800.1	WP_102337748.1		
N2.HOG0000513	OG0000404	n0	WP_117636008.1	WP_152063301.1	WP_102337625.1		
N2.HOG0000514	OG0000405	n0	WP_117637654.1	WP_039910734.1	WP_102338342.1		
N2.HOG0000515	OG0000406	n0	WP_117638060.1	WP_006723000.1	WP_102337753.1		
N2.HOG0000516	OG0000407	n0	WP_117639738.1	WP_152063614.1	WP_102338558.1		
N2.HOG0000517	OG0000408	n0	WP_117639888.1	WP_152063233.1	WP_102337509.1		
N2.HOG0000518	OG0000409	n0	WP_117640571.1	WP_152063838.1, WP_152063837.1, WP_193221231.1	WP_102338473.1		
N2.HOG0000519	OG0000410	n0	WP_124786659.1, WP_117774092.1, WP_117640602.1, WP_124786419.1				
N2.HOG0000520	OG0000411	n0	WP_117646163.1	WP_152062761.1	WP_102338048.1		
N2.HOG0000521	OG0000412	n0	WP_117646379.1	WP_152063186.1	WP_102337492.1		
N2.HOG0000522	OG0000413	n0	WP_117647214.1	WP_152063304.1	WP_102337628.1		
N2.HOG0000523	OG0000414	n0	WP_117647216.1	WP_152063303.1	WP_102337627.1		
N2.HOG0000524	OG0000415	n0	WP_117647217.1	WP_152063302.1	WP_102337626.1		
N2.HOG0000525	OG0000416	n0	WP_117647346.1	WP_226803250.1	WP_234346184.1		
N2.HOG0000526	OG0000417	n0	WP_117647466.1	WP_226803362.1	WP_102338446.1		
N2.HOG0000527	OG0000418	n0	WP_117647468.1	WP_226803347.1	WP_234346338.1		
N2.HOG0000528	OG0000419	n0	WP_117654800.1	WP_152063168.1	WP_102337473.1		
N2.HOG0000529	OG0000420	n0	WP_117654802.1	WP_152063234.1	WP_102337510.1		
N2.HOG0000530	OG0000421	n0	WP_117655047.1	WP_039910339.1	WP_006720939.1		
N2.HOG0000531	OG0000422	n0	WP_117655131.1	WP_152062932.1	WP_102337301.1		
N2.HOG0000532	OG0000423	n0	WP_117655181.1	WP_152063728.1	WP_102338470.1		
N2.HOG0000533	OG0000424	n0	WP_117655644.1	WP_152062797.1	WP_102337233.1		
N2.HOG0000534	OG0000425	n0	WP_117655648.1	WP_152062805.1	WP_102338543.1		
N2.HOG0000535	OG0000426	n0	WP_117735979.1	WP_152062882.1	WP_234346200.1		
N2.HOG0000536	OG0000427	n0	WP_117736274.1	WP_006722450.1	WP_102337569.1		
N2.HOG0000537	OG0000428	n0	WP_117736309.1	WP_152063243.1	WP_234346170.1		
N2.HOG0000538	OG0000429	n0	WP_117742779.1	WP_006722684.1	WP_102337437.1		
N2.HOG0000539	OG0000430	n0	WP_117745773.1				
N2.HOG0000540	OG0000431	n0	WP_117745946.1	WP_152063181.1	WP_102337488.1		
N2.HOG0000541	OG0000432	n0	WP_117756859.1	WP_152063830.1	WP_102338333.1		
N2.HOG0000542	OG0000433	n0	WP_117757788.1	WP_152063380.1	WP_102337272.1		
N2.HOG0000543	OG0000434	n1	WP_117757953.1				
N2.HOG0000544	OG0000434	n3	WP_117774414.1				
N2.HOG0000545	OG0000435	n0	WP_117758331.1	WP_152063001.1	WP_102337346.1		
N2.HOG0000546	OG0000436	n0	WP_117758513.1	WP_152063165.1	WP_102337471.1		
N2.HOG0000547	OG0000437	n0	WP_117758534.1	WP_152063136.1	WP_102337430.1		
N2.HOG0000548	OG0000438	n0	WP_117758558.1	WP_152062949.1	WP_102337288.1		
N2.HOG0000549	OG0000439	n0	WP_117759589.1	WP_006723709.1	WP_102337978.1		
N2.HOG0000550	OG0000440	n0	WP_117759599.1	WP_152062711.1	WP_102338037.1		
N2.HOG0000551	OG0000441	n0	WP_117766417.1	WP_152062839.1	WP_102337997.1		
N2.HOG0000552	OG0000442	n0	WP_117766657.1	WP_152063076.1	WP_102337424.1		
N2.HOG0000553	OG0000443	n0	WP_117769723.1	WP_152063446.1	WP_102338145.1		
N2.HOG0000554	OG0000444	n0	WP_117770263.1	WP_152062833.1	WP_102338017.1		
N2.HOG0000555	OG0000445	n0	WP_117770264.1	WP_039910700.1	WP_102338016.1		
N2.HOG0000556	OG0000446	n0	WP_117772872.1	WP_006723288.1	WP_102337972.1		
N2.HOG0000557	OG0000447	n0	WP_117772874.1	WP_152063796.1	WP_102337960.1		
N2.HOG0000558	OG0000448	n0	WP_117772884.1	WP_152063792.1	WP_234346230.1		
N2.HOG0000559	OG0000449	n0	WP_117772886.1	WP_152063791.1	WP_102337956.1		
N2.HOG0000560	OG0000450	n0	WP_117772888.1	WP_152063790.1	WP_102337955.1		
N2.HOG0000561	OG0000451	n1	WP_117772902.1	WP_006723255.1	WP_102337944.1		
N2.HOG0000562	OG0000451	n3	WP_233543591.1	WP_118272036.1			
N2.HOG0000563	OG0000452	n0	WP_117772908.1	WP_152063593.1	WP_102337937.1		
N2.HOG0000564	OG0000453	n0	WP_117772965.1	WP_152063005.1	WP_102337347.1		
N2.HOG0000565	OG0000454	n0	WP_117773345.1	WP_152062886.1, WP_152062880.1	WP_102337759.1		
N2.HOG0000566	OG0000455	n0	WP_117773347.1	WP_152062879.1	WP_102337765.1		
N2.HOG0000567	OG0000456	n0	WP_117773349.1	WP_152062878.1	WP_102337766.1		
N2.HOG0000568	OG0000457	n0	WP_117773373.1	WP_226803179.1	WP_234346361.1		
N2.HOG0000569	OG0000458	n0	WP_117773474.1	WP_152063695.1			
N2.HOG0000570	OG0000459	n0	WP_117773477.1	WP_152063693.1	WP_102338417.1		
N2.HOG0000571	OG0000460	n0	WP_117773482.1	WP_006723113.1	WP_102338412.1		
N2.HOG0000572	OG0000461	n0	WP_117773502.1	WP_193221164.1	WP_102337453.1		
N2.HOG0000573	OG0000462	n0	WP_117773507.1	WP_152063159.1	WP_102337461.1		
N2.HOG0000574	OG0000463	n0	WP_117773508.1	WP_152063160.1	WP_102337462.1		
N2.HOG0000575	OG0000464	n0	WP_117773509.1	WP_152063161.1	WP_102337463.1		
N2.HOG0000576	OG0000465	n0	WP_117773510.1	WP_006722652.1	WP_102337465.1		
N2.HOG0000577	OG0000466	n0	WP_117773511.1	WP_006722651.1	WP_102337466.1		
N2.HOG0000578	OG0000467	n0	WP_117773512.1	WP_152063162.1	WP_102337467.1		
N2.HOG0000579	OG0000468	n0	WP_117773515.1	WP_152063166.1	WP_102337472.1		
N2.HOG0000580	OG0000469	n0	WP_117773517.1	WP_152063198.1	WP_102337505.1		
N2.HOG0000581	OG0000470	n0	WP_117773519.1	WP_152063235.1	WP_102337511.1		
N2.HOG0000582	OG0000471	n0	WP_117773744.1, WP_124786030.1	WP_193221197.1			
N2.HOG0000583	OG0000472	n0	WP_117773847.1	WP_152063253.1	WP_102337542.1		
N2.HOG0000584	OG0000473	n0	WP_117773849.1	WP_152063255.1	WP_102337544.1		
N2.HOG0000585	OG0000474	n0	WP_117773877.1	WP_152063473.1	WP_102338102.1		
N2.HOG0000586	OG0000475	n0	WP_117773878.1				
N2.HOG0000587	OG0000476	n0	WP_117774224.1	WP_152063447.1	WP_102338143.1		
